unixtimestamp,date,high,low,close,thursdays,expirydate,firstclose,firstclosedate,strikeprice,downloaded_filename,cleaned_filename,downloaded,strike_price_call_name,strike_price_call,strike_price_call_high,strike_price_call_low,strike_price_put_name,strike_price_put,strike_price_put_high,strike_price_put_low,position_price,position_price_max_1,position_price_max_2
1715226300,2024-05-09,22307.75,21932.400390625,21957.5,2024-05-09,2024-05-09,22475.849609375,2024-05-03,22500,op090524.csv,op090524_cleaned.csv,True,OPTIDXNIFTY09-MAY-2024CE22500,0.1,13.45,0.05,OPTIDXNIFTY09-MAY-2024PE22500,536.5,552.9,203.3,536.6,216.75,552.9499999999999
1715312700,2024-05-10,22131.30078125,21950.30078125,22055.19921875,2024-05-16,2024-05-16,22055.19921875,2024-05-10,22100,op100524.csv,op100524_cleaned.csv,True,OPTIDXNIFTY16-MAY-2024CE22100,134.1,199.4,108.05,OPTIDXNIFTY16-MAY-2024PE22100,161.55,219.95,125.75,295.65,325.15,328.0
1715571900,2024-05-13,22131.650390625,21821.05078125,22104.05078125,2024-05-16,2024-05-16,22055.19921875,2024-05-10,22100,op130524.csv,op130524_cleaned.csv,True,OPTIDXNIFTY16-MAY-2024CE22100,128.2,151.0,42.7,OPTIDXNIFTY16-MAY-2024PE22100,113.75,324.85,94.45,241.95,245.45,367.55
1715658300,2024-05-14,22270.05078125,22081.25,22217.849609375,2024-05-16,2024-05-16,22055.19921875,2024-05-10,22100,op140524.csv,op140524_cleaned.csv,True,OPTIDXNIFTY16-MAY-2024CE22100,177.15,222.0,103.0,OPTIDXNIFTY16-MAY-2024PE22100,48.95,135.0,40.0,226.10000000000002,262.0,238.0
1715744700,2024-05-15,22297.55078125,22151.75,22200.55078125,2024-05-16,2024-05-16,22055.19921875,2024-05-10,22100,op150524.csv,op150524_cleaned.csv,True,OPTIDXNIFTY16-MAY-2024CE22100,138.05,225.0,103.0,OPTIDXNIFTY16-MAY-2024PE22100,30.55,81.3,22.75,168.60000000000002,247.75,184.3
1715831100,2024-05-16,22432.25,22054.55078125,22403.849609375,2024-05-16,2024-05-16,22055.19921875,2024-05-10,22100,op160524.csv,op160524_cleaned.csv,True,OPTIDXNIFTY16-MAY-2024CE22100,298.1,319.75,16.25,OPTIDXNIFTY16-MAY-2024PE22100,0.55,98.0,0.05,298.65000000000003,319.8,114.25
1715917500,2024-05-17,22502.150390625,22345.650390625,22466.099609375,2024-05-23,2024-05-23,22466.099609375,2024-05-17,22500,op170524.csv,op170524_cleaned.csv,True,OPTIDXNIFTY23-MAY-2024CE22500,113.15,137.45,83.25,OPTIDXNIFTY23-MAY-2024PE22500,151.55,230.0,130.9,264.70000000000005,268.35,313.25
1716263100,2024-05-21,22591.099609375,22404.55078125,22529.05078125,2024-05-23,2024-05-23,22466.099609375,2024-05-17,22500,op210524.csv,op210524_cleaned.csv,True,OPTIDXNIFTY23-MAY-2024CE22500,121.7,172.95,85.15,OPTIDXNIFTY23-MAY-2024PE22500,85.7,142.0,62.0,207.4,234.95,227.15
1716349500,2024-05-22,22629.5,22483.150390625,22597.80078125,2024-05-23,2024-05-23,22466.099609375,2024-05-17,22500,op220524.csv,op220524_cleaned.csv,True,OPTIDXNIFTY23-MAY-2024CE22500,141.7,169.0,87.8,OPTIDXNIFTY23-MAY-2024PE22500,35.45,109.8,29.05,177.14999999999998,198.05,197.6
1716435900,2024-05-23,22993.599609375,22577.44921875,22967.650390625,2024-05-23,2024-05-23,22466.099609375,2024-05-17,22500,op230524.csv,op230524_cleaned.csv,True,OPTIDXNIFTY23-MAY-2024CE22500,459.65,477.95,123.8,OPTIDXNIFTY23-MAY-2024PE22500,0.3,39.0,0.05,459.95,478.0,162.8
1716522300,2024-05-24,23026.400390625,22908.0,22957.099609375,2024-05-30,2024-05-30,22957.099609375,2024-05-24,23000,op240524.csv,op240524_cleaned.csv,True,OPTIDXNIFTY30-MAY-2024CE23000,163.1,204.4,142.05,OPTIDXNIFTY30-MAY-2024PE23000,145.15,194.15,117.6,308.25,322.0,336.20000000000005
1716781500,2024-05-27,23110.80078125,22871.19921875,22932.44921875,2024-05-30,2024-05-30,22957.099609375,2024-05-24,23000,op270524.csv,op270524_cleaned.csv,True,OPTIDXNIFTY30-MAY-2024CE23000,125.2,249.9,93.75,OPTIDXNIFTY30-MAY-2024PE23000,142.95,176.8,68.35,268.15,318.25,270.55
1716867900,2024-05-28,22998.55078125,22858.5,22888.150390625,2024-05-30,2024-05-30,22957.099609375,2024-05-24,23000,op280524.csv,op280524_cleaned.csv,True,OPTIDXNIFTY30-MAY-2024CE23000,80.35,144.9,72.85,OPTIDXNIFTY30-MAY-2024PE23000,144.35,167.65,107.05,224.7,251.95,240.5
1716954300,2024-05-29,22825.5,22685.44921875,22704.69921875,2024-05-30,2024-05-30,22957.099609375,2024-05-24,23000,op290524.csv,op290524_cleaned.csv,True,OPTIDXNIFTY30-MAY-2024CE23000,12.15,54.15,9.4,OPTIDXNIFTY30-MAY-2024PE23000,270.8,304.0,174.95,282.95,229.1,313.4
